Content Title,Github Repo,s3 link/drive Link,Youtube Link,Blog created on docs,README updated
Multi-Model Invoice OCR Pipeline:,https://github.com/dakshjain-1616/Multi-Model-Invoice-OCR-Pipeline,https://drive.google.com/file/d/1uKz_Dj33oN1Dsl393hJVz1RMy22G_3-z/view?usp=drive_link,,TRUE,TRUE
Table Extraction from Financial Documents,https://github.com/dakshjain-1616/Table-Extraction-from-Financial-Documents,https://drive.google.com/file/d/1NlvqdpsKvsoFt30EHgQiaLSkf_AHMdn1/view?usp=sharing,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/tableExtraction.mp4,TRUE,TRUE
Real-time Voice Translation Pipeline,https://github.com/dakshjain-1616/Real-time-Voice-Translation-Pipeline,,,TRUE,TRUE
Medical Report Analysis Pipeline,https://github.com/dakshjain-1616/Medical-Report-Analysis-Pipeline,https://drive.google.com/drive/folders/1_BQIcMEdmmzeXWWtC0t5IIt-68RqjeTd,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/medical-vision-model-pipeline.mp4,TRUE,TRUE
Quantization-Aware Training,https://github.com/dakshjain-1616/Quantisation-Awareness-training,https://drive.google.com/file/d/1H6HRSf0EVf3JUSVTVgjQlHdwnyrqV0G9/view?usp=sharing,https://youtu.be/Z9W2gTu-Ekc,TRUE,TRUE
Multi-Query Batch Inference Optimization,https://github.com/dakshjain-1616/Multi-Query-Batch-Inference-Optimization,,,TRUE,TRUE
Code Analysis & Refactoring Agent:,https://github.com/dakshjain-1616/Code-Agent-Analysis-and-Refactoring-tool,https://drive.google.com/file/d/1bRxrY1p10MTUBiqaH3IHKkHMFuGs3QWH/view?usp=drive_link,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/code-refactor-agent-made-with-neo.mp4,TRUE,TRUE
Multi-modal RAG System,https://github.com/dakshjain-1616/Multi-Model-RAG,,,TRUE,TRUE
Prompt Injection Defense,https://github.com/dakshjain-1616/Prompt-Injection-Defence-System,https://drive.google.com/file/d/1uICNZj4eWlG0vktuB6HTotZicWNutK7D/view?usp=drive_link,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/prompt-injection-defence-fast.mp4,TRUE,TRUE
A/B Testing Framework,https://github.com/dakshjain-1616/AB-testing-tool,,,TRUE,TRUE
Carbon-Aware Model Training,https://github.com/dakshjain-1616/CarbonAwareModelTraining,https://drive.google.com/file/d/17xxZJtDhEI_tLIWPUyUW8E-pxtvnaA-T/view?usp=sharing,https://youtu.be/71Se6aNaWTM,TRUE,TRUE
ASR pipeline using Qwen3 0.6B,https://github.com/dakshjain-1616/ASR-pipeline-using-Qwen3-ASR-0.6B---BY-NEO,https://drive.google.com/file/d/1smmpi028giFPclwHS2BQ8edUF-4FBZfC/view?usp=drive_link,https://youtu.be/Fn-jEt5wLmw,TRUE,TRUE
chat clustering tool,https://github.com/dakshjain-1616/ChatClusteringAgent,INTERNAL USAGE TOOL !,,FALSE,FALSE
LLM Consistency Monitor,https://github.com/Dakshjain1604/LLM-consistency-Monitor,,,TRUE,TRUE
Prompt AB testing tool,https://github.com/Dakshjain1604/Prompt-AB-testing-Tool,,,TRUE,TRUE
LLM Response Judge,https://github.com/Dakshjain1604/LLM-response-Judge,,,TRUE,TRUE
Stock Trading Swarm ,https://github.com/dakshjain-1616/Stock-trading-Agent-Swarm,https://youtu.be/2c9pnt5i7jU,https://heyneo-content.s3.us-east-2.amazonaws.com/documents/public/swarm-trading-agent-neo.mp4,TRUE,TRUE
